league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Market_value_eur
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"61    30000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,"429    400000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30,1991,30,20,1782,19.8,4,7,11,2,2,3,0,0,0.2,0.35,0.56,0.1,0.45,"908    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Ben White,ENG,DF,23,1997,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,"1557    45000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1664    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Bukayo Saka,ENG,"MF,FW",19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48,"2049    100000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Calum Chambers,ENG,DF,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"2179    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Eddie Nketiah,ENG,FW,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,"4193    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Emile Smith Rowe,ENG,MF,21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,0.47,0.09,0.56,0.47,0.56,"4404    40000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,35,35,3063,34.0,5,0,5,5,0,0,8,1,0.15,0.0,0.15,0.15,0.15,"5046    40000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Gabriel Martinelli,BRA,"MF,FW",20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53,"5089    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Granit Xhaka,SUI,MF,28,1992,27,27,2327,25.9,1,2,3,1,0,0,10,1,0.04,0.08,0.12,0.04,0.12,"5611    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Martin Ødegaard,NOR,MF,22,1998,36,32,2785,30.9,7,4,11,7,0,0,4,0,0.23,0.13,0.36,0.23,0.36,"10529    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Pablo Marí,ESP,DF,27,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"12102    300000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Arsenal,Reiss Nelson,ENG,"FW,MF",21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"12709    7000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Ashley Young,ENG,"DF,FW",36,1985,24,10,1250,13.9,0,2,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,"1254    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Axel Tuanzebe,COD,DF,23,1997,9,6,508,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"1300    7000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Bertrand Traoré,BFA,FW,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1678    16000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Calum Chambers,ENG,"DF,MF",26,1995,11,9,831,9.2,1,0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,"2179    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Cameron Archer,ENG,"FW,MF",20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"2197    8000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Danny Ings,ENG,FW,29,1992,30,22,1898,21.1,7,6,13,6,1,1,4,0,0.33,0.28,0.62,0.28,0.57,"3441    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Douglas Luiz,BRA,MF,23,1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,0.07,0.1,0.17,0.07,0.17,"4130    38000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Emi Buendía,ARG,"FW,MF",24,1996,35,22,1899,21.1,4,6,10,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,"4416    32000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Emiliano Martínez,ARG,GK,28,1992,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,"4442    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Ezri Konsa,ENG,DF,23,1997,29,29,2477,27.5,2,0,2,2,0,0,6,2,0.07,0.0,0.07,0.07,0.07,"4676    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Jacob Ramsey,ENG,MF,20,2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,"6457    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"6467    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Jed Steer,ENG,GK,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"7216    600000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,John McGinn,SCO,MF,26,1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,0.09,0.12,0.2,0.09,0.2,"7732    32000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Kortney Hause,ENG,DF,26,1995,7,4,397,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,"8995    4000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Lucas Digne,FRA,DF,28,1993,16,16,1269,14.1,0,4,4,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,"9699    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Marvelous Nakamba,ZIM,MF,27,1994,16,10,904,10.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,"10551    7000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Matt Targett,ENG,"DF,MF",25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,"10756    17000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Matty Cash,POL,"DF,MF",23,1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,"10860    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Ollie Watkins,ENG,FW,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,0.34,0.06,0.4,0.3,0.37,"12016    35000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Tim Iroegbunam,ENG,MF,18,2003,3,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"14747    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Tyrone Mings,ENG,DF,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,"15238    30000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Aston Villa,Wesley Moraes,BRA,FW,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"15622    6000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Bryan Mbeumo,CMR,FW,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,"2035    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Charlie Goode,ENG,DF,25,1995,6,4,450,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,"2414    900000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Christian Nørgaard,DEN,MF,27,1994,35,35,3054,33.9,3,4,7,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,"2693    14000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,David Raya,ESP,GK,25,1995,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"3756    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Ethan Pinnock,JAM,DF,28,1993,32,32,2694,29.9,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,"4621    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Frank Onyeka,NGA,MF,23,1998,20,12,1045,11.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,"4953    9000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Josh Dasilva,ENG,"MF,FW",22,1998,9,2,257,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,"8192    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Kristoffer Ajer,NOR,DF,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,"9011    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Mads Roerslev,DEN,"MF,DF",22,1999,21,12,1240,13.8,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,"9999    2500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Marcus Forss,FIN,FW,22,1999,7,1,209,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,"10271    4000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Mathias Jensen,DEN,MF,25,1996,31,19,1601,17.8,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06,"10639    14000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Mathias Jørgensen,DEN,DF,31,1990,8,6,518,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,"10639    14000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Nathan Young-Coombes,ENG,FW,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1254    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Rico Henry,JAM,"MF,DF",24,1997,34,33,2776,30.8,3,0,3,3,0,0,2,0,0.1,0.0,0.1,0.1,0.1,"12887    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Shandon Baptiste,GRN,MF,23,1998,22,9,910,10.1,1,0,1,1,0,0,2,1,0.1,0.0,0.1,0.1,0.1,"13903    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Tariqe Fosu,GHA,"FW,MF",25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"14572    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Vitaly Janelt,GER,MF,23,1998,31,27,2298,25.5,4,0,4,4,0,0,3,0,0.16,0.0,0.16,0.16,0.16,"15383    16000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Brentford,Yoane Wissa,COD,FW,24,1996,30,12,1284,14.3,7,1,8,7,0,0,0,0,0.49,0.07,0.56,0.49,0.56,"15840    15000000
Name: Market_value_eur, dtype: int64"
